[5436, 5.8253484293315e-05]
[5437, 5.8253484293315e-05]
[5438, 5.8253484293315e-05]
[5444, 5.8253484293315e-05]
[5446, 5.8253484293315e-05]
[7362, 5.864240598126702e-05]
[7364, 5.864240598126702e-05]
[7365, 5.864240598126702e-05]
[7367, 5.864240598126702e-05]
[4801, 5.8738148146858956e-05]
[4805, 5.8738148146858956e-05]
[4808, 5.8738148146858956e-05]
[4809, 5.8738148146858956e-05]
[9768, 5.8790267910367866e-05]
[9769, 5.8790267910367866e-05]
[9772, 5.8790267910367866e-05]
[9775, 5.8790267910367866e-05]
[7614, 5.8971662038335226e-05]
[7616, 5.8971662038335226e-05]
[7617, 5.8971662038335226e-05]
[7288, 5.904745371729863e-05]
[7289, 5.904745371729863e-05]
[7290, 5.904745371729863e-05]
[7291, 5.904745371729863e-05]
[7292, 5.904745371729863e-05]
[7293, 5.904745371729863e-05]
[7294, 5.904745371729863e-05]
[7295, 5.904745371729863e-05]
[7296, 5.904745371729863e-05]
[7297, 5.904745371729863e-05]
[7298, 5.904745371729863e-05]
[7299, 5.904745371729863e-05]
[7300, 5.904745371729863e-05]
[7301, 5.904745371729863e-05]
[7302, 5.904745371729863e-05]
[7303, 5.904745371729863e-05]
[7304, 5.904745371729863e-05]
[7305, 5.904745371729863e-05]
[7306, 5.904745371729863e-05]
[7307, 5.904745371729863e-05]
[7308, 5.904745371729863e-05]
[7310, 5.904745371729863e-05]
[7311, 5.904745371729863e-05]
[7312, 5.904745371729863e-05]
[7313, 5.904745371729863e-05]
[7314, 5.904745371729863e-05]
[8979, 5.9075425973046515e-05]
[8982, 5.9075425973046515e-05]
[9577, 5.9175072400945585e-05]
[9578, 5.9175072400945585e-05]
[9579, 5.9175072400945585e-05]
[9580, 5.9175072400945585e-05]
[9581, 5.9175072400945585e-05]
[10186, 5.93641165918488e-05]
[5716, 5.971430907893032e-05]
[5720, 5.971430907893032e-05]
[6286, 5.9792988537793316e-05]
[6601, 5.9995241624105615e-05]
[6602, 5.9995241624105615e-05]
[6604, 5.9995241624105615e-05]
[6605, 5.9995241624105615e-05]
[6606, 5.9995241624105615e-05]
[6608, 5.9995241624105615e-05]
[6610, 5.9995241624105615e-05]
[6611, 5.9995241624105615e-05]
[6612, 5.9995241624105615e-05]
[8400, 6.020550852815093e-05]
[8402, 6.020550852815093e-05]
[8403, 6.020550852815093e-05]
[8404, 6.020550852815093e-05]
[5984, 6.021066255396067e-05]
[5986, 6.021066255396067e-05]
[5987, 6.021066255396067e-05]
[5988, 6.021066255396067e-05]
[7316, 6.039963445706859e-05]
[7317, 6.039963445706859e-05]
[10339, 6.04478054295579e-05]
[10340, 6.04478054295579e-05]
[10341, 6.04478054295579e-05]
[10342, 6.04478054295579e-05]
[10343, 6.04478054295579e-05]
[10344, 6.04478054295579e-05]
[9979, 6.0779394694148975e-05]
[9980, 6.0779394694148975e-05]
[8867, 6.089985353709656e-05]
[6351, 6.157851800964207e-05]
[5814, 6.169499814573628e-05]
[5816, 6.169499814573628e-05]
[9989, 6.169823562199127e-05]
[9991, 6.169823562199127e-05]
[10513, 6.196910704297998e-05]
[10514, 6.196910704297998e-05]
[5611, 6.202573658809772e-05]
[7203, 6.210023788967591e-05]
[881, 6.212475023469458e-05]
[8335, 6.216375544359842e-05]
[8336, 6.216375544359842e-05]
[8337, 6.216375544359842e-05]
[10006, 6.21890884735598e-05]
[7741, 6.222339822923834e-05]
[10403, 6.2275783580574e-05]
[10404, 6.2275783580574e-05]
[7715, 6.23732763482495e-05]
[8292, 6.240797817738374e-05]
[8614, 6.24178310045444e-05]
[10489, 6.242202183265734e-05]
[10490, 6.242202183265734e-05]
[10491, 6.242202183265734e-05]
[8973, 6.243259740040324e-05]
[9415, 6.243372089282532e-05]
[10562, 6.243372089282532e-05]
[10563, 6.243372089282532e-05]
[10564, 6.243372089282532e-05]
[9442, 6.243456693824436e-05]
[9443, 6.243456693824436e-05]
[9369, 6.243465681763837e-05]
[9416, 6.243465681763837e-05]
[10623, 6.243465681763837e-05]
[10811, 6.243473820240475e-05]
[10787, 6.243473820240587e-05]
[10788, 6.243473820240587e-05]
[10760, 6.243473820241973e-05]
[10761, 6.243473820241973e-05]
[10762, 6.243473820241973e-05]
[10736, 6.243473820259299e-05]
[10737, 6.243473820259299e-05]
[10785, 6.243473820259299e-05]
[10717, 6.243473820475865e-05]
[10718, 6.243473820475865e-05]
[10755, 6.243473820475865e-05]
[10756, 6.243473820475865e-05]
[10703, 6.243473823182962e-05]
[10732, 6.243473823182962e-05]
[10733, 6.243473823182962e-05]
[10734, 6.243473823182962e-05]
[10496, 6.243473844692635e-05]
[10681, 6.243473857021682e-05]
[10715, 6.243473857021682e-05]
[10716, 6.243473857021682e-05]
[10722, 6.243473857021682e-05]
[10415, 6.243474125892622e-05]
[10417, 6.243474125892622e-05]
[10419, 6.243474125892622e-05]
[9199, 6.243474246668208e-05]
[9201, 6.243474246668208e-05]
[10650, 6.243474280005816e-05]
[10682, 6.243474280005816e-05]
[10700, 6.243474280005816e-05]
[10701, 6.243474280005816e-05]
[10359, 6.243477640892481e-05]
[10553, 6.243478765570393e-05]
[10554, 6.243478765570393e-05]
[8667, 6.243479150587144e-05]
[8668, 6.243479150587144e-05]
